"spil","kandidat","numerator","denominator","decimal","ts","bookmaker"
"Statsminister efter næste folketingsvalg","Mette Frederiksen",17,20,1.85,2022-10-08 18:35:01,"Danske Spil"
"Statsminister efter næste folketingsvalg","Søren Pape",11,4,3.75,2022-10-08 18:35:01,"Danske Spil"
"Statsminister efter næste folketingsvalg","Pia Olsen Dyhr",149,1,150,2022-10-08 18:35:01,"Danske Spil"
"Statsminister efter næste folketingsvalg","Pernille Vermund",149,1,150,2022-10-08 18:35:01,"Danske Spil"
"Statsminister efter næste folketingsvalg","Alex Vanopslagh",124,1,125,2022-10-08 18:35:01,"Danske Spil"
"Statsminister efter næste folketingsvalg","Jakob Ellemann-Jensen",9,4,3.25,2022-10-08 18:35:01,"Danske Spil"
"Statsminister efter næste folketingsvalg","Sofie Carsten Nielsen",99,1,100,2022-10-08 18:35:01,"Danske Spil"
"Statsminister efter næste folketingsvalg","Lars Løkke",13,1,14,2022-10-08 18:35:01,"Danske Spil"
"Statsminister efter næste folketingsvalg","Morten Messerschmidt",299,1,300,2022-10-08 18:35:01,"Danske Spil"
"Statsminister efter næste folketingsvalg","Inger Støjberg",64,1,65,2022-10-08 18:35:01,"Danske Spil"
"Statsminister efter næste folketingsvalg","Mai Villadsen",299,1,300,2022-10-08 18:35:01,"Danske Spil"
